model,group_id,n,mae,rmse,r2,negative_predictions
PrestonInspired,CMP-training-067.csv,2,3.1559696929526524,3.1664227674051935,-61.11149456024494,0
PrestonInspired,CMP-training-071.csv,3,10.558875234679448,11.131691079125604,-239.04427663760663,0
PrestonInspired,CMP-training-072.csv,58,4.736709173212402,6.116352273027738,-1.467627002863646,0
PrestonInspired,CMP-training-087.csv,61,7.3922863798891765,8.439143112929484,-1.8954009900728739,0
PrestonInspired,CMP-training-099.csv,3,1.4617430435839935,1.8105823329971986,-0.15554801473690483,0
PrestonInspired,CMP-training-101.csv,64,8.540038970611064,9.55061335572636,-4.1100082550300625,0
PrestonInspired,CMP-training-115.csv,7,3.8860373674262627,5.808024425425235,-1.0340305706490245,0
PrestonInspired,CMP-training-118.csv,4,10.047423553663766,10.128991493490833,-32.47214557668947,0
PrestonInspired,CMP-training-130.csv,4,2.8871271789480986,3.4917135492845883,-0.1495534771818412,0
PrestonInspired,CMP-training-134.csv,85,7.14072857866683,8.19295968884628,-1.5733520700199257,0
PrestonInspired,CMP-training-137.csv,62,6.148089337521846,7.3026345481290225,-1.6363596926081558,0
PrestonInspired,CMP-training-145.csv,11,3.493555500769084,4.7136183432571785,-0.13992457057846286,0
PrestonInspired,CMP-training-166.csv,3,0.9140083234269506,1.1095747471053097,0.31120724474353045,0
PrestonInspired,CMP-training-167.csv,6,4.353419004726393,5.7447063223685895,-1.7259404562210823,0
PrestonInspired,CMP-training-169.csv,3,3.1001728059020954,3.925398307521314,-8.252288303070532,0
PrestonInspired,CMP-training-171.csv,9,2.0399798865526737,2.3257896626163745,0.13684012832979764,0
PrestonInspired,CMP-training-172.csv,43,4.2277020778053584,5.467733715777531,-1.040907634876108,0
PrestonInspired,CMP-training-182.csv,3,4.266885794439247,5.328851671590751,-5.759808196976153,0
RandomForest,CMP-training-014.csv,22,5.082206334749776,6.050567623167782,0.6240735260254695,0
RandomForest,CMP-training-018.csv,1,8.235493951218075,8.235493951218075,,0
RandomForest,CMP-training-029.csv,5,1.2423864993574056,1.5149921418887786,-1.1711018600394771,0
RandomForest,CMP-training-044.csv,1,3.2054635164730954,3.2054635164730954,,0
RandomForest,CMP-training-045.csv,3,2.2002357790750886,2.3360765392121916,-3.4231713570692106,0
RandomForest,CMP-training-047.csv,3,2.259666904525164,2.4292338029568525,-2.2891266737389784,0
RandomForest,CMP-training-049.csv,3,5.345439966751878,5.705136408119314,-5.599153111157477,0
RandomForest,CMP-training-051.csv,4,4.776541849500086,4.935865074657284,0.582110030459922,0
RandomForest,CMP-training-053.csv,8,4.084501367948446,4.255936795182637,-0.4036555774761008,0
RandomForest,CMP-training-056.csv,1,2.9574597092464927,2.9574597092464927,,0
RandomForest,CMP-training-058.csv,5,2.4188203584232553,2.944607041990186,-0.6209543274048628,0
RandomForest,CMP-training-059.csv,1,1.4664284526034095,1.4664284526034095,,0
RandomForest,CMP-training-063.csv,1,5.691631016274513,5.691631016274513,,0
RandomForest,CMP-training-067.csv,2,6.561799438478154,7.993123972588515,-394.79224289577496,0
RandomForest,CMP-training-071.csv,3,5.037917661943093,5.04110015678483,-48.22885295839223,0
RandomForest,CMP-training-072.csv,58,3.2540425376132256,4.10845026556671,-0.11339841964627118,0
RandomForest,CMP-training-087.csv,61,2.738656317022915,3.534309838223269,0.4921666077779191,0
RandomForest,CMP-training-099.csv,3,1.595809974338157,1.674377024362485,0.011770188132435577,0
RandomForest,CMP-training-101.csv,64,3.1954679075669947,3.9616880152339258,0.12073534030580901,0
RandomForest,CMP-training-115.csv,7,4.3370971683026625,4.811204849397437,-0.3957521473882657,0
RandomForest,CMP-training-118.csv,4,3.54117561265166,3.825678121951987,-3.774940822044024,0
RandomForest,CMP-training-130.csv,4,2.8526559973404098,4.046022811332588,-0.5435070486395581,0
RandomForest,CMP-training-134.csv,85,4.535555648857025,5.57847701204678,-0.19302313950444816,0
RandomForest,CMP-training-137.csv,62,2.584777182595336,3.4891798770034232,0.39814448220897136,0
