track,split,model,repeat,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean
grouped,validation,P1_ELM_Stack,12,297,61.871704339360605,7.865856872544822,4.698109911242501,0.9436745631149852,0.054939892540418866,5.493989254041887,3.351024980220707,2.351024980220707
grouped,validation,P1_ELM_Stack,13,297,84.84927675699886,9.211366714934265,5.0373326681548125,0.9227567329242754,0.05640101279432128,5.640101279432129,5.76394259530686,4.763942595306859
grouped,validation,P1_ELM_Stack,14,297,195.36198893479926,13.977195317187181,5.734601963310711,0.8221505372290554,0.06295186842184881,6.295186842184881,600.9925114589447,599.9925114589447
grouped,validation,P1_ELM_Stack,15,297,711.12686415538,26.666962034610915,6.468836743646334,0.35261955797230093,0.06523578628444528,6.523578628444528,193304790204.67435,193304790203.67435
grouped,validation,P1_ELM_Stack,16,297,236.8159495345403,15.38882547612196,6.036774768737932,0.7844125685351946,0.06266918280235682,6.266918280235682,440470.67848246824,440469.67848246824
grouped,validation,P1_ELM_Stack,17,297,139.44943495851575,11.808871028109154,5.417472226505765,0.8730510104534155,0.05974717976620961,5.974717976620961,165.5556850094149,164.5556850094149
grouped,validation,P1_ELM_Stack,18,297,198.297058219131,14.081798827533754,6.479266153432444,0.8194785717240968,0.06840938909421537,6.840938909421538,53.47616130111883,52.476161301118836
grouped,validation,P1_ELM_Stack,19,297,338.03708030034534,18.385784734417655,6.546294273642288,0.6922650436972178,0.06770665618322472,6.770665618322472,36296.712298530685,36295.712298530685
grouped,validation,P1_ERT,0,297,84.26050321203196,9.179352003928816,5.679707623737381,0.9232927279724271,0.06260610054683403,6.260610054683403,2.341105539348745,1.3411055393487452
grouped,validation,P1_ERT,1,297,77.74962042025456,8.817574520255247,5.562300088383845,0.9292199659832392,0.06187144859632893,6.187144859632894,2.204518583982294,1.2045185839822936
grouped,validation,P1_ERT,2,297,76.59446073851201,8.75182613735625,5.532838308080813,0.9302715755104187,0.06141025314114642,6.141025314114642,2.1971319943497742,1.1971319943497742
grouped,validation,P1_ERT,3,297,82.23669190543292,9.068444844924235,5.582990194444451,0.9251351219590512,0.06141475055998816,6.141475055998816,2.3187233716464024,1.3187233716464026
grouped,validation,P1_ERT,4,297,77.6043518605468,8.809333224515168,5.548556651515158,0.9293522124629275,0.061367922879414845,6.136792287941485,2.203095689912826,1.2030956899128258
grouped,validation,P1_ERT,5,297,77.9609914971635,8.829552168550991,5.5617187929293,0.9290275425098781,0.061561905979401456,6.156190597940146,2.2453233479497086,1.2453233479497086
grouped,validation,P1_ERT,6,297,80.21334260561441,8.956190183644742,5.5344127449495035,0.9269770953538388,0.06123160213960294,6.123160213960294,2.2802490181219,1.2802490181219002
grouped,validation,P1_ERT,7,297,76.44279287401554,8.743156916927406,5.550640068181829,0.9304096476521254,0.061441311125319927,6.144131112531992,2.181027615970791,1.181027615970791
